Pub. (104),year,AC (14),AU (32),VIB (33),VIS (69),RT (66),SUM (24),IV (RT:8 SUM:0 Total:8),TM (RT:19 SUM:1 Total:19),CH (RT:20 SUM:18 Total:32),SL (RT:25 SUM:2 Total:26),PO (RT:16 SUM:3 Total:16),Other (RT:8 SUM:3 Total:10)
alattas2014detecting,2014,,X,,X,X,X,,RT,SUM,,RT,
anwary2019real,2019,,,,X,X,,,,RT,,,
anwary2020monitoring,2020,,X,X,X,X,X,,,SUM,RT,,
azrin1968behavioral,1968,,X,,,,,,,,,,
bagalkot2019reride,2019,,,,X,,X,,,SUM,,,
bailly2016livingdesktop,2016,X,,,,,,,,,,,
baptista2017flexible,2017,,,,X,X,,,,,RT,,
barone2019sensory,2019,,,X,,,,,,,,,
bootsman2019wearable,2019,,X,X,X,X,X,,RT,SUM,,,
bourahmoune2019aipowered,2019,,,X,,,,,,,,,
breen2009evaluation,2009,,X,,X,X,,,,,RT,,
chin2019posture,2019,,X,,,,,,,,,,
cho2019sitting,2019,,,,X,X,X,,,RT & SUM,,,
daian2007sensitive,2007,,X,,X,X,,,,,,RT,
demmans2007posture,2007,,,,X,X,,,,,RT,,
dib2007effects,2007,,X,,X,X,,,,,,,RT
duffy2013measuring,2013,,,,X,X,,,RT,,,,RT
el-sayed2011novel,2011,,,,X,X,X,,RT & SUM,,,,
epstein2012effects,2012,,X,X,,,,,,,,,
ferreira2014breakout,2014,,,,X,X,,,,,,RT,
flutur2019smart,2019,,,,X,X,X,,,RT & SUM,RT,,
fujita2021tiltchair,2021,X,,,,,,,,,,,
gaffney2015evaluation,2015,,X,,X,X,,,,RT,,,
goossens2012office,2012,,,X,X,X,X,,,,,RT & SUM,
haller2011finding,2011,,,X,X,X,,,,,RT,RT,
hong2015better,2015,,X,,X,X,,,,,,RT,
hong2015beupo,2015,,,,X,X,,,,,RT,,RT
ishac2017smart,2017,,,X,,,,,,,,,
ishac2018lifechair,2018,,,X,,,,,,,,,
ishimatsu2014bitaika,2014,,,,X,X,,RT,,RT,,,
ishimatsu2015finding,2015,X,,X,X,X,,RT,,RT,,,RT
jaebonglee2014preventfhp,2014,,X,X,,,,,,,,,
jaimes2005sit,2005,,,,X,X,,RT,,RT,,,
johnson2010buzz,2010,,,X,,,,,,,,,
khurana2014neckgraffe,2014,,,,X,X,X,,RT,SUM,RT,,SUM
kim2016feedback,2016,,,,X,X,,,,,RT,,
kiran2021automatic,2021,X,X,,X,X,,,RT,,,,
kumar2021design,2021,,,X,X,X,,,,RT,,,
kuo2019immediate,2019,,,X,,,,,,,,,
kuo2021sitting,2021,,,X,,,,,,,,,
lamberti2022smart,2022,,,,X,X,,,RT,,,,
lanmu2010sitting,2010,,X,,X,X,,,RT,,,,
lee2020human,2020,,,,X,X,,,,,RT,RT,
lee2021assistive,2021,X,,X,X,X,,,,,,RT,
li2020design,2020,,X,,,,,,,,,,
liao2016design,2016,,X,X,X,X,X,,,SUM,,,RT
liao2017collaborative,2017,,X,X,X,X,X,,,SUM,,,RT
liu2021development,2021,,,X,,,,,,,,,
luna-perejon2021iot,2021,,,,X,X,,,,RT,RT,,
martins2014intelligent,2014,X,,,,,,,,,,,
matuska2020smart,2020,,X,,X,X,,,,RT,RT,,
min2015pretty,2015,,,,X,X,X,,,RT & SUM,RT,,RT & SUM
moon2013comparison,2013,,,,X,X,,,RT,,,,
moshnyaga2019design,2019,,X,,,,,,,,,,
murata2016graphical,2016,,,,X,X,X,,RT,SUM,RT,,SUM
ng1995evaluation,1995,X,,,,,,,,,,,
niijima2021posture,2021,,X,,,,,,,,,,
nishida2017standouter,2017,,,,X,X,X,,,SUM,,RT,
nizam2020android,2020,,,X,X,X,,,RT,,RT,,
obrien1970behavioral,1970,,,X,,,,,,,,,
ochoa2018poor,2018,,X,,X,X,,,RT,,RT,,
ozgul2022wearable,2022,,X,X,X,X,,,RT,,RT,RT,
paliyawan2014prolonged,2014,,X,,X,X,X,,RT,SUM,,RT,
park2012effect,2012,,,,X,X,,,,RT,,,
park2016design,2016,,,,X,X,,,,RT,RT,,
pereira2015system,2015,X,,,,,,,,,,,
petropoulos2017spomo,2017,,,X,X,X,X,,,RT & SUM,,,
petropoulos2020wearable,2020,,,X,,,,,,,,,
prueksanusak2019ergonomic,2019,,,,X,X,X,,,SUM,RT,,
ramalingam2021alarming,2021,,X,,X,X,,,,,,RT,
ran2021portable,2021,,,X,,,,,,,,,
ribeiro2014effectiveness,2014,,X,,,,,,,,,,
ribeiro2015optimization,2015,,,,X,,X,,,,SUM,,
roossien2017can,2017,,,X,X,X,X,,,,,RT & SUM,
shen2021seatplus,2021,X,,,X,X,,,RT,RT,RT,,
shin2016beupright,2016,,,X,X,X,,,,,,,RT
shin2018actuating,2018,X,,,,,,,,,,,
shin2019slow,2019,X,,,,,,,,,,,
shin2020body,2020,X,,,,,,,,,,,
sigurdsson2008using,2008,,,,X,X,,RT,,,,,
sigurdsson2011generalization,2011,,,,X,X,,RT,,,,,
soenandi2019real,2019,,X,X,,,,,,,,,
soltaninejad2018sitlight,2018,,,,X,X,,,,,,RT,
speir2015posturechair,2015,,,,X,X,,RT,RT,,RT,,
sun2021kinectbased,2021,,X,,,,,,,,,,
taieb-maimon2012effectiveness,2012,,,,X,X,,RT,,,,,
tavares2022instrumented,2022,,,,X,X,,,RT,,RT,,
taylor2013posture,2013,,,,X,X,,RT,,,,,
tlili2022design,2022,,X,,X,X,,,RT,RT,,,
vanalmkerk2015improving,2015,X,,,X,,X,,,SUM,,,
vanderdoelen2011tactile,2011,,,X,X,X,X,,,,,RT & SUM,
wang2013virtualspine,2013,,,,X,X,X,,RT,RT & SUM,,,
wang2015smart,2015,,X,X,X,X,,,,RT,RT,,
wang2018virtualspine,2018,,,,X,X,X,,,RT & SUM,,,
wolfel2017acceptance,2017,,,,X,X,,,,,,RT,
wong2008detecting,2008,,X,,,,,,,,,,
wu2018activeergo,2018,X,,,,,,,,,,,
wu2019development,2019,,X,,,,,,,,,,
xu2013ecushion,2013,,,,X,X,,,,RT,,,
yingzheng2010vibrotactile,2010,,,X,,,,,,,,,
yoo2006effects,2006,,X,,,,,,,,,,
yu2013evaluation,2013,,,,X,X,X,,,,RT & SUM,,
zheng2010cognitive,2010,,,X,,,,,,,,,
zheng2013comparison,2013,,,X,X,X,,,,,RT,,