publisher,count,,publisher plot,count plot
IEEE,81,,IEEE,81
ACM,30,,ACM,30
MDPI,20,,MDPI,20
Springer Nature,20,,Springer Nature,20
Elsevier,16,,Elsevier,16
Wiley,5,,Other,56
SAGE,5,,SUM,223
Hindawi Limited,4,,,
Informa UK Limited,4,,,
IOP Publishing,3,,,
IOS Press,3,,,
SCITEPRESS,3,,,
s.n.,2,,,
Oxford University Press,1,,,
IAES,1,,,
IJCAI,1,,,
IARIA,1,,,
Cambridge University Press (CUP),1,,,
Knowledge E,1,,,
The Open University,1,,,
Emerald,1,,,
Junction Publishing,1,,,
PeerJ,1,,,
Elsevier Citation,1,,,
Politeknik Negeri Padang,1,,,
Penerbit Universiti Teknikal Malaysia Melaka (UTeM),1,,,
AIP Publishing,1,,,
IGI Global,1,,,
"Institute of Electronics, Information and Communications Engineers (IEICE)",1,,,
Indian Society for Education and Environment,1,,,
Ceyhun YILMAZ,1,,,
Taylor & Francis,1,,,
Journal of Orthopaedic & Sports Physical Therapy (JOSPT),1,,,
ACTAPRESS,1,,,
s.n,1,,,
Carleton University,1,,,
ASME,1,,,
Nordic Ergonomics Society,1,,,
American Scientific Publishers,1,,,
Public Library of Science (PLoS),1,,,