citekey,Year,Author,Title,DOI,Url
ma2020smart,2020,"Ma, Congcong; Li, Wenfeng; Gravina, Raffaele; Du, Juan; Li, Qimeng; Fortino, Giancarlo",Smart cushion-based activity recognition: Prompting users to maintain a healthy seated posture,10.1109/msmc.2019.2962226,
mallare2017sitting,2017,"Mallare, John Cloie T.; Pineda, Dianne Faye G.; Trinidad, Gerald M.; Serafica, Reymond D.; Villanueva, Jules Benedict K.; Cruz, Angelo R. Dela; Vicerra, Ryan Rhay P.; Serrano, Kanny Krizzy D.; Roxas, Edison A.",Sitting posture assessment using computer vision,10.1109/hnicem.2017.8269473,
martinaitis2018low,2018,"Martinaitis, Arnas; Daunoraviciene, Kristina",Low cost self-made pressure distribution sensors for ergonomic chair: Are they suitable for posture monitoring?,10.3233/THC-182512,
martins2014intelligent,2014,"Martins, Leonardo; Lucena, Rui; Almeida, Rui; Belo, João; Quaresma, Cláudia; Jesus, Adelaide; Vieira, Pedro",Intelligent chair sensor,10.4018/ijsda.2014040105,
martins2015realtime,2015,"Martins, Leonardo; Ribeiro, Bruno; Pereira, Hugo; Almeida, Rui; Costa, Jéssica; Quaresma, Cláudia; Jesus, Adelaide; Vieira, Pedro",Real-time fuzzy monitoring of sitting posture: Development of a new prototype and a new posture classification algorithm to detect postural transitions,,
martins2016optimization,2016,"Martins, Leonardo; Ribeiro, Bruno; Almeida, Rui; Pereira, Hugo; Jesus, Adelaide; Quaresma, Cláudia; Vieira, Pedro",Optimization of sitting posture classification based on anthropometric data,10.5220/0005790104060413,
matuska2020smart,2020,"Matuska, Slavomir; Paralic, Martin; Hudec, Robert",A smart system for sitting posture detection based on force sensors and mobile application,10.1155/2020/6625797,
meyer2010design,2010,"Meyer, Jan; Arnrich, Bert; Schumm, Johannes; Troster, Gerhard",Design and modeling of a textile pressure sensor for sitting posture classification,10.1109/jsen.2009.2037330,
min2015pretty,2015,"Min, Deedee A.; Kim, Yaejin; Jang, Sung A.; Kim, Keun Young; Jung, Su-Eun; Lee, Ji-Hyun",Pretty pelvis,10.1145/2702613.2732807,
min2018scene,2018,"Min, Weidong; Cui, Hao; Han, Qing; Zou, Fangyuan",A scene recognition and semantic analysis approach to unhealthy sitting posture detection during screen-reading,10.3390/s18093119,
mizumoto2020design,2020,"Mizumoto, Teruhiro; Otoda, Yasuhiro; Nakajima, Chihiro; Kohana, Mitsuhiro; Uenishi, Motohiro; Yasumoto, Keiichi; Arakawa, Yutaka",Design and implementation of sensor-embedded chair for continuous sitting posture recognition,10.1587/transinf.2019EDP7226,
moon2013comparison,2013,"Moon, Kwangsu; Oah, Shezeen",A comparison of the effects of feedback and prompts on safe sitting posture: Utilizing an automated observation and feedback system,10.1080/01608061.2013.785906,
moshnyaga2019design,2019,"Moshnyaga, Vasily G.; Hashimoto, Koji; Nogami, Tomohiro; Nojima, Kazuki",Design of wireless smart chair system for people with cognitive deficiency,10.1109/mwscas.2019.8884971,
murata2016graphical,2016,"Murata, Kazuyoshi; Shibuya, Yu",Graphical notification to maintain good posture during visual display terminal work,10.1016/j.ifacol.2016.10.551,
mutlu2007robust,2007,"Mutlu, Bilge; Krause, Andreas; Forlizzi, Jodi; Guestrin, Carlos; Hodgins, Jessica","Robust, low-cost, non-intrusive sensing and recognition of seated postures",10.1145/1294211.1294237,
ng1995evaluation,1995,"Ng, David; Cassar, Tom; Gross, Clifford M.",Evaluation of an intelligent seat system,10.1016/0003-6870(95)00006-x,
niijima2021posture,2021,"Niijima, Arinobu",Posture feedback system with wearable speaker,10.1109/embc46164.2021.9630687,
nishida2017standouter,2017,"Nishida, Tatsuki; Tsukada, Koji",StandOuter,10.1145/3123024.3123178,
nizam2020android,2020,"Nizam, Nusrat Binta; Jinan, Tohfatul; Aurthy, Wahida Binte Naz; Hossen, Md. Rakib; Ferdous, Jahid",Android based low cost sitting posture monitoring system,10.1109/icece51571.2020.9393150,
obrien1970behavioral,1970,"O'Brien, F; Azrin, NH",Behavioral engineering: control of posture by informational feedback1,10.1901/jaba.1970.3-235,
ochoa2018poor,2018,"Ochoa, S Fernando; others","Poor posture indicator by means of accelerometers, with voice alarm using a smartphone with android",10.17485/ijst/2018/v11i40/132359,
otoda2018census,2018,"Otoda, Yasuhiro; Mizumoto, Teruhiro; Arakawa, Yutaka; Nakajima, Chihiro; Kohana, Mitsuhiro; Uenishi, Motohiro; Yasumoto, Keiichi",Census: Continuous posture sensing chair for office workers,10.1109/icce.2018.8326275,
ozgul2022wearable,2022,"Özgül, Gizem; Patlar Akbulut, Fatma",Wearable sensor device for posture monitoring and analysis during daily activities: A preliminary study,10.35860/iarej.1018977,
paliyawan2014prolonged,2014,"Paliyawan, Pujana; Nukoolkit, Chakarida; Mongkolnam, Pornchai",Prolonged sitting detection for office workers syndrome prevention using kinect,10.1109/ecticon.2014.6839785,
park2012effect,2012,"Park, Se-yeon; Yoo, Won-gyu",Effect of EMG-based feedback on posture correction during computer operation,10.1539/joh.12-0052-oa,
park2016design,2016,"Park, Mingyu; Song, Younghoon; Lee, Jaewon; Paek, Jeongyeup",Design and Implementation of a smart chair system for IoT,10.1109/ictc.2016.7763406,
partlow20213d,2021,"Partlow, Adam; Gibson, Colin; Kulon, Janusz","3D posture visualisation from body shape measurements using physics simulation, to ascertain the orientation of the pelvis and femurs in a seated position",10.1016/j.cmpb.2020.105772,
pereira2015system,2015,"Pereira, Hugo; Martins, Leonardo; Almeida, Rui; Ribeiro, Bruno; Quaresma, Claudia; Ferreira, Adelaide; Vieira, Pedro",System for posture evaluation and correction - development of a second prototype for an intelligent chair,10.5220/0005286002040209,
perez2021sitting,2021,"Perez, Nerea; Vermander, Patrick; Lara, Elena; Mancisidor, Aitziber; Cabanes, Itziar",Sitting posture monitoring device for people with low degree of autonomy,,
petropoulos2017spomo,2017,"Petropoulos, Anastasios; Sikeridis, Dimitrios; Antonakopoulos, Theodore",SPoMo: IMU-based real-time sitting posture monitoring,10.1109/icce-berlin.2017.8210574,
petropoulos2020wearable,2020,"Petropoulos, Anastasios; Sikeridis, Dimitrios; Antonakopoulos, Theodore",Wearable smart health advisors: An IMU-Enabled posture monitor,10.1109/mce.2019.2956205,
prueksanusak2019ergonomic,2019,"Prueksanusak, Benyapa; Rujivipatand, Punawatchara; Wongpatikaseree, Konlakorn",An ergonomic chair with internet of thing technology using SVM,10.1109/times-icon47539.2019.9024488,
qian2018inverse,2018,"Qian, Zhe; Bowden, Anton; Zhang, Dong; Wan, Jia; Liu, Wei; Li, Xiao; Baradoy, Daniel; Fullwood, David",Inverse piezoresistive nanocomposite sensors for identifying human sitting posture,10.3390/s18061745,
ramalingam2021alarming,2021,"Ramalingam, Mritha; Puviarasi, R.; Chinnavan, Elanchezhian; Shern, Quah Chia; Zolkipli, Mohamad Fadli",Alarming assistive technology: An IoT enabled sitting posture monitoring system,10.1109/icsecs52883.2021.00114,
ran2021portable,2021,"Ran, Xu; Wang, Cong; Xiao, Yao; Gao, Xuliang; Zhu, Zhiyuan; Chen, Bin",A portable sitting posture monitoring system based on a pressure sensor array and machine learning,10.1016/j.sna.2021.112900,
ren2019healthsit,2019,"Ren, Xipei; Yu, Bin; Lu, Yuan; Chen, Yu; Pu, Pearl",HealthSit: Designing posture-based interaction to promote exercise during fitness breaks,10.1080/10447318.2018.1506641,
ren2019lightsit,2019,"Ren, Xipei; Yu, Bin; Lu, Yuan; Zhang, Biyong; Hu, Jun; Brombacher, Aarnout",LightSit: An unobtrusive health-promoting system for relaxation and fitness microbreaks at work,10.3390/s19092162,
ribeiro2014effectiveness,2014,"Ribeiro, Daniel Cury; Sole, Gisela; Abbott, J. Haxby; Milosavljevic, Stephan",The effectiveness of a lumbopelvic monitor and feedback device to change postural behavior: A feasibility randomized controlled trial,10.2519/jospt.2014.5009,
ribeiro2015optimization,2015,"Ribeiro, Bruno; Pereira, Hugo; Almeida, Rui; Ferreira, Adelaide; Martins, Leonardo; Quaresma, Claudia; Vieira, Pedro",Optimization of sitting posture classification based on user identification,10.1109/enbeng.2015.7088853,
ribeiro2020spine,2020,"Ribeiro, Pedro; Soares, Ana Rita; Girão, Rafael; Neto, Miguel; Cardoso, Susana",Spine cop: Posture correction monitor and assistant,10.3390/s20185376,
roh2018sitting,2018,"Roh, Jongryun; Park, Hyeong-jun; Lee, Kwang; Hyeong, Joonho; Kim, Sayup; Lee, Boreom",Sitting posture monitoring system based on a low-cost load cell using machine learning,10.3390/s18010208,
roh2019estimation,2019,"Roh, Jongryun; Hyeong, Joonho; Kim, Sayup",Estimation of various sitting postures using a load-cell-driven monitoring system,10.1016/j.ergon.2019.102837,
roossien2017can,2017,"Roossien, C.C.; Stegenga, J.; Hodselmans, A.P.; Spook, S.M.; Koolhaas, W.; Brouwer, S.; Verkerke, G.J.; Reneman, M.F.",Can a smart chair improve the sitting behavior of office workers?,10.1016/j.apergo.2017.07.012,
rosero-montalvo2019intelligent,2019,"Rosero-Montalvo, Paul D.; López-Batista, Vivian; Puertas, Vanessa E. Alvear; Maya-Olalla, Edgar; Dominguez-Limaico, Mauricio; Zambrano-Vizuete, Marcelo; Arciengas-Rocha, Ricardo P.; Erazo-Chamorro, Vanessa C.",An intelligent system for detecting a person sitting position to prevent lumbar diseases,,
rosero-montalvo2019intelligenta,2019,"Rosero-Montalvo, Paul D.; Peluffo-Ordonez, Diego Hernn; Batista, Vivian Felix Lopez; Serrano, Jorge; Rosero, Edwin A.",Intelligent system for identification of wheelchair user's posture using machine learning techniques,10.1109/jsen.2018.2885323,
rus2019etextile,2019,"Rus, Silvia; Braun, Andreas; Kirchbuchner, Florian; Kuijper, Arjan",E-textile capacitive electrodes: Fabric or thread: Designing an E-textile cushion for sitting posture detection,10.1145/3316782.3316785,
russell2017posture,2017,"Russell, Luke; Goubran, Rafik; Kwamena, Felix",Posture sensing using a low-cost temperature sensor array,10.1109/memea.2017.7985917,
russell2018posture,2018,"Russell, L.; Goubran, R.; Kwamena, F.",Posture detection using sounds and temperature: LMS-Based approach to enable sensory substitution,10.1109/tim.2018.2795158,
samiei-zonouz2014smartphonecentric,2014,"Samiei-Zonouz, Reza; Memarzadeh-Tehran, Hamidreza; Rahmani, Rouhollah",Smartphone-centric human posture monitoring system,10.1109/ihtc.2014.7147534,
sandybekov2019posture,2019,"Sandybekov, Maksim; Grabow, Clemens; Gaiduk, Maksym; Seepold, Ralf",Posture tracking using a machine learning algorithm for a home AAL environment,,
schrempf2011posturecare,2011,"Schrempf, Andreas; Schossleitner, Gerold; Minarik, Thomas; Haller, Michael; Gross, Sabine",PostureCare – Towards a novel system for posture monitoring and guidance,10.3182/20110828-6-it-1002.02987,
schwartz2013recognizing,2013,"Schwartz, Bernhard; Schrempf, Andreas; Probst, Kathrin; Haller, Michael; Glöckl, Josef",Recognizing static and dynamic sitting behavior by means of instrumented office chairs,10.2316/p.2013.791-142,
shen2021seatplus,2021,"Shen, Zuyu; Wan, Xi; Jin, Yucheng; Gao, Ge; Wang, Qianying; Liu, Wei",SeatPlus: A smart health chair supporting active sitting posture correction,10.1007/978-3-030-78224-5_37,
shin2016beupright,2016,"Shin, Jaemyung; Kang, Bumsoo; Park, Taiwoo; Huh, Jina; Kim, Jinhan; Song, Junehwa",BeUpright,10.1145/2858036.2858561,
shin2018actuating,2018,"Shin, Joongi; Choi, Woohyeok; Lee, Uichin; Saakes, Daniel",Actuating a monitor for posture changes,10.1145/3170427.3188562,
shin2019slow,2019,"Shin, Joon-Gi; Onchi, Eiji; Reyes, Maria Jose; Song, Junbong; Lee, Uichin; Lee, Seung-Hee; Saakes, Daniel",Slow robots for unobtrusive posture correction,10.1145/3290605.3300843,
shin2020body,2020,"Shin, Joon Gi; Kim, Doheon; So, Chaehan; Saakes, Daniel",Body follows eye: Unobtrusive posture manipulation through a dynamic content position in virtual reality,10.1145/3313831.3376794,
sigurdsson2008using,2008,"Sigurdsson, Sigurdur O.; Austin, John",Using real-time visual feedback to improve posture at computer workstations,10.1901/jaba.2008.41-365,
sigurdsson2011generalization,2011,"Sigurdsson, Sigurdur O.; Ring, Brandon M.; Needham, Mick; Boscoe, James H.; Silverman, Kenneth",Generalization of posture training to computer workstations in an applied setting,10.1901/jaba.2011.44-157,
sinha2021smartphonebased,2021,"Sinha, Vikas Kumar; Patro, Kiran Kumar; Pławiak, Paweł; Prakash, Allam Jaya",Smartphone-based human sitting behaviors recognition using inertial sensor,10.3390/s21196652,
skach2018smart,2018,"Skach, Sophie; Stewart, Rebecca; Healey, Patrick G. T.",Smart arse,10.1145/3242969.3242977,
slivovsky2000realtime,2000,"Slivovsky, Lynne A.; Tan, Hong Z.",A real-time static posture classification system,10.1115/imece2000-2411,
soenandi2019real,2019,"Soenandi, Iwan Aang; Ginting, Meriastuti; Harsono, Budi",Real time floor sitting posture monitoring using K-means clustering,10.1145/3305160.3305209,https://dl.acm.org/doi/abs/10.1145/3305160.3305209
soltaninejad2018sitlight,2018,"Soltani Nejad, Farideh",SitLight: a wearable intervention for improving sitting behavior,,https://urn.kb.se/resolve?urn=urn:nbn:se:umu:diva-149740
song-lin2010human,2010,"Song-Lin, Wu; Rong-Yi, Cui",Human behavior recognition based on sitting postures,10.1109/3ca.2010.5533871,
speir2015posturechair,2015,"Speir, Jessica","PostureChair: A real-time, as-needed feedback system for improving the sitting posture of office workers",,https://curve.carleton.ca/297e4d41-ae13-4740-bccb-5d21ca40265d
sun2019sitting,2019,"Sun, Wanting; Zhou, Ze; Li, Hongjun",Sitting posture recognition in real-time combined with index map and BLS,10.1145/3319921.3319955,
sun2021kinectbased,2021,"Sun, Heng; Zhu, Guo-an; Cui, Xu; Wang, Jin-Xiang",Kinect-based intelligent monitoring and warning of students sitting posture,10.1109/cacre52464.2021.9501372,
suzuki2016sitting,2016,"Suzuki, Shunsuke; Kudo, Mineichi; Nakamura, Atsuyoshi",Sitting posture diagnosis using a pressure sensor mat,10.1109/isba.2016.7477236,
taieb-maimon2012effectiveness,2012,"Taieb-Maimon, Meirav; Cwikel, Julie; Shapira, Bracha; Orenstein, Ido",The effectiveness of a training method using self-modeling webcam photos for reducing musculoskeletal risk among office workers using computers,10.1016/j.apergo.2011.05.015,
takeda2019posture,2019,"Takeda, Takahiro",Posture estimation method using cushion type seat pressure sensor,10.1109/icmlc48188.2019.8949190,
tan1999sensing,1999,"Tan, Hong Z",A sensing chair,,https://engineering.purdue.edu/~hongtan/pubs/Index.html
tan2001sensing,2001,"Tan, H.Z.; Slivovsky, L.A.; Pentland, A.",A sensing chair using pressure distribution sensors,10.1109/3516.951364,
tang2021upper,2021,"Tang, Hao-Yuan; Tan, Shih-Hua; Su, Ting-Yu; Chiang, Chang-Jung; Chen, Hsiang-Ho",Upper body posture recognition using inertial sensors and recurrent neural networks,10.3390/app112412101,
tavares2022instrumented,2022,"Tavares, Catia; Silva, Joao Oliveira E.; Mendes, Andre; Rebolo, Leonor; Domingues, Maria De Fatima; Alberto, Nelia; Lima, Mario; Silva, Hugo Placido; Antunes, Paulo Fernando Da Costa",Instrumented office chair with low-cost plastic optical fiber sensors for posture control and work conditions optimization,10.1109/access.2022.3185624,
taylor2013posture,2013,"Taylor, Brett; Birk, Max; Mandryk, Regan L.; Ivkovic, Zenja",Posture training with real-time visual feedback,10.1145/2468356.2479629,
tessendorf2009unsupervised,2009,"Tessendorf, B.; Arnrich, B.; Schumm, J.; Setz, C.; Troster, G.",Unsupervised monitoring of sitting behavior,10.1109/iembs.2009.5334620,
tlili2022design,2022,"Tlili, Ferdews; Haddad, Rim; Bouallegue, Ridha; Shubair, Raed",Design and architecture of smart belt for real time posture monitoring,10.1016/j.iot.2021.100472,
tlili2022machine,2022,"Tlili, Ferdews; Haddad, Rim; Bouallegue, Ridha; Shubair, Raed",Machine learning algorithms application for the proposed sitting posture monitoring system,10.1016/j.procs.2022.07.031,
vanalmkerk2015improving,2015,"van Almkerk, Marc; Bierling, Bart L.; Leermakers, Nono; Vinken, Jeroen; Timmermans, Annick A.A.",Improving posture and sitting behavior through tactile and visual feedback in a sedentary environment,10.1109/embc.2015.7319411,
vanderdoelen2011tactile,2011,"van der Doelen, LHM; Netten, MP; Goossens, RHM",Tactile feedback to influence sitting behavior during office work,,https://research.tudelft.nl/en/publications/tactile-feedback-to-influence-sitting-behavior-during-office-work
vergara2000system,2000,"Vergara, Margarita; Page, Álvaro",System to measure the use of the backrest in sitting-posture office tasks,10.1016/s0003-6870(99)00056-3,
verma2021fpga,2021,"Verma, Srijan; Thulasiraman, Nandha Kumar; Yee, Andy Chan Tak",FPGA based real time back posture correction device,10.1109/scored53546.2021.9652776,
wan2021hip,2021,"Wan, Qilong; Zhao, Haiming; Li, Jie; Xu, Peng",Hip positioning and sitting posture recognition based on human sitting pressure image,10.3390/s21020426,
wang2013virtualspine,2013,"Wang, Stephen; Yu, Di","Virtual-spine: The collaboration between pervasive environment based simulator, game engine (mixed-reality) and pervasive messaging",10.4108/icst.pervasivehealth.2013.252108,
wang2015smart,2015,"Wang, Q.; Chen, W.; Timmermans, A.A.A.; Karachristos, C.; Martens, J.B.; Markopoulos, P.",Smart rehabilitation garment for posture monitoring,10.1109/embc.2015.7319695,
wang2017preliminary,2017,"Wang, Changwon; Kim, Young; Min, Se Dong",A preliminary study on implementation of sitting posture analysis system using a conductive textile,10.1166/asl.2017.10461,
wang2018virtualspine,2018,"Wang, Stephen Jia; Sommer, Björn; Cheng, Wenlong; Schreiber, Falk","The Virtual-Spine Platform—Acquiring, visualizing, and analyzing individual sitting behavior",10.1371/journal.pone.0195670,
wang2019pointofchoice,2019,"Wang, Yunlong; Reiterer, Harald",The point-of-choice prompt or the always-on progress bar?,10.1145/3290607.3313050,
wang2021sitting,2021,"Wang, Jianquan; Hafidh, Basim; Dong, Haiwei; Saddik, Abdulmotaleb El",Sitting posture recognition using a spiking neural network,10.1109/JSEN.2020.3016611,
wolfel2017acceptance,2017,"Wölfel, Matthias",Acceptance of dynamic feedback to poor sitting habits by anthropomorphic objects,10.1145/3154862.3154928,
wong2008detecting,2008,"Wong, Wai Yin; Wong, Man Sang",Detecting spinal posture change in sitting positions with tri-axial accelerometers,10.1016/j.gaitpost.2007.03.001,
wong2008smart,2008,"Wong, Wai Yin; Wong, Man Sang",Smart garment for trunk posture monitoring: A preliminary study,10.1186/1748-7161-3-7,
wu2018activeergo,2018,"Wu, Yu-Chian; Wu, Te-Yen; Taele, Paul; Wang, Bryan; Liu, Jun-You; Ku, Pin-sung; Lai, Po-En; Chen, Mike Y.",ActiveErgo,10.1145/3173574.3174132,
wu2019development,2019,"Wu, Chi-Chih; Chiu, Chuang-Chien; Yeh, Chun-Yu",Development of wearable posture monitoring system for dynamic assessment of sitting posture,10.1007/s13246-019-00836-4,
wu2021posex,2021,"Wu, Bing-Fei; Lin, Chien-Chou; Huang, Po-Wei",PoseX: A webcam-based detection system to prevent postural syndromes for computer users,10.1109/iecbes48179.2021.9398773,
wu2022recognition,2022,"Wu, Jun; Liu, Jian; Li, Xiuyuan; Yan, Lingbo; Cao, Libo; Zhang, Haiyang",Recognition and prediction of driver's whole body posture model,10.1177/09544070211068676,
xu2011ecushion,2011,"Xu, Wenyao; Li, Zhinan; Huang, Ming-Chun; Amini, Navid; Sarrafzadeh, Majid",eCushion: An eTextile device for sitting posture monitoring,10.1109/bsn.2011.24,
xu2012sensing,2012,"Xu, Lishuang; Chen, Gang; Wang, Jiajun; Shen, Ruimin; Zhao, Shen",A sensing cushion using simple pressure distribution sensors,10.1109/mfi.2012.6343048,
xu2013ecushion,2013,"Xu, Wenyao; Huang, Ming-Chun; Amini, Navid; He, Lei; Sarrafzadeh, Majid",eCushion: A textile pressure sensor array design and calibration for sitting posture analysis,10.1109/jsen.2013.2259589,
yao2017new,2017,"Yao, Leiyue; Min, Weidong; Cui, Hao",A new kinect approach to judge unhealthy sitting posture based on neck angle and torso angle,,
yingzheng2010vibrotactile,2010,"Zheng, Ying; Morrell, John B.",A vibrotactile feedback approach to posture guidance,10.1109/haptic.2010.5444633,
yoo2006effects,2006,"Yoo, Won-gyu; Yi, Chung-hwi; Kim, Min-hee","Effects of a proximity-sensing feedback chair on head, shoulder, and trunk postures when working at a visual display terminal",10.1007/s10926-006-9059-7,
yu2013evaluation,2013,"Yu, Eunjeong; Moon, Kwangsu; Oah, Shezeen; Lee, Yohaeng",An evaluation of the effectiveness of an automated observation and feedback system on safe sitting postures,10.1080/01608061.2013.785873,
yuan2021smart,2021,"Yuan, Liangqi; Li, Jia",Smart cushion based on pressure sensor array for human sitting posture recognition,10.1109/sensors47087.2021.9639463,
zemp2016application,2016,"Zemp, Roland; Tanadini, Matteo; Plüss, Stefan; Schnüriger, Karin; Singh, Navrag B.; Taylor, William R.; Lorenzetti, Silvio",Application of machine learning approaches for classifying sitting posture based on force and acceleration sensors,10.1155/2016/5978489,
zheng2010cognitive,2010,"Zheng, Ying (Jean); Morrell, John B.",Cognitive load assessment of a vibrotactile posture feedback chair,10.1177/154193121005401527,
zheng2013comparison,2013,"Zheng, Ying; Morrell, John B.",Comparison of visual and vibrotactile feedback methods for seated posture guidance,10.1109/toh.2012.3,
zhu2003templatebased,2003,"Zhu, Manli; Martinez, Aleix M.; Tan, Hong Z.",Template-based recognition of static sitting postures,10.1109/cvprw.2003.10049,
zhu2019smart,2019,"Zhu, Yunying; Qiu, Shaoke; Li, Min; Chen, Gengshu; Hu, Xinyao; Liu, Chengxiang; Qu, Xingda",A smart portable mat that can meausre sitting plantar pressure distribution with a high resolution,10.1109/iea.2019.8714871,